"Story","Title","Result","Date","Stability","Duration (s)"
"Buscar Agencia dos Correios de Acordo com um endereco","A busca comeca","SUCCESS","2018-01-31T13:05:03.082-02:00","0.0","17.56"
"Comprar Ingresso Thermas dos Laranjais","Comprar Ingresso Thermas dos Laranjais","SUCCESS","2018-01-31T12:25:19.800-02:00","0.0","98.02"
"Consultar se ha promocao no trajeto Angra dos Reis","Consulta Promocoes em Angra dos Reis","SUCCESS","2018-01-31T12:26:59.275-02:00","0.0","23.93"
"Adicionar Geladeira Brastemp ao Carrinho","Para Adicionar uma geladeira ao carrinho","SUCCESS","2018-01-31T13:01:49.717-02:00","0.0","66.22"
"Acessar aba de vantagens do cartão Sou Barato","Para acessa a aba","SUCCESS","2018-01-31T12:58:58.909-02:00","0.0","36.05"
"Adicionar um Iphone ao Carrinho","Para adicionar um Iphone ao carrinho","SUCCESS","2018-01-31T13:02:56.681-02:00","0.0","62.34"
"Adicionar um produto reembalado ao carinho","Para adicionar um produto reembalado ao carrinho","SUCCESS","2018-01-31T12:59:36.311-02:00","0.0","57.39"
"Adicionar um tênis ao carrinho","Para adicionar um tenis ao carrinho","SUCCESS","2018-01-31T13:04:00.003-02:00","0.0","62.11"
"Adicionar um tênis ao carrinho e calcular o frete","Para adicionar um tenis ao carrinho e calcular o frete","SUCCESS","2018-01-31T13:09:28.017-02:00","0.0","82.14"
"Adicionar uma camiseta da seleção Brasileira ao Carrinho","Para adicionar uma camiseta da selecao ao carrinho","SUCCESS","2018-01-31T13:00:34.206-02:00","0.0","74.9"
"Calcular Frete de qualquer produto até a RSI Osasco","Para calcular o frete","SUCCESS","2018-01-31T13:10:50.708-02:00","0.0","47.51"
"Escolher calçado da outlet com o preço abaixo de 150 reais","Para comecar a busca pelo calcado","SUCCESS","2018-01-31T13:11:39.062-02:00","0.0","64.58"
"Adicionar um tênis ao carrinho, limpar o carinho e volta a loja","Para comecar o teste de limpar o carrinho","SUCCESS","2018-01-31T13:12:44.451-02:00","0.0","103.11"
"Pesquisar e selecionar um hotel cinco estrelas no Rio de Janeiro","Pesquisa no Hotel Urbano por um hotel cinco estrelas","SUCCESS","2018-01-31T12:27:23.559-02:00","0.0","83.71"
"Reservar uma diaria um hotel cinco estrelas em São Paulo","Pesquisa no Hotel Urbano por um hotel cinco estrelas e fazer uma diaria","SUCCESS","2018-01-31T12:29:47.818-02:00","0.0","69.92"
"Pesquisar voos de São Paulo para Salvador","Pesquisar voos de São Paulo para Salvador","SUCCESS","2018-01-31T12:28:48.270-02:00","0.0","59.17"
"Buscar CEP nos Correios utilizando Endereco","Teste de Buscar CEP nos Correios utilizando Endereco","SUCCESS","2018-01-31T13:08:51.385-02:00","0.0","25.08"
"Buscar Endereco nos Correios passando CEP","Teste de Buscar Endereco nos Correios passando CEP","SUCCESS","2018-01-31T13:09:17.768-02:00","0.0","9.59"
"Selecionar Precos e Prazos da RSI Osasco a RSI Alphaville","Teste para Selecionar Precos e Prazos da RSI Osasco e RSI Alphaville","SUCCESS","2018-01-31T13:14:28.269-02:00","0.0","25.39"
"Selecionar Precos e Prazos do CEP A a CEP B","Teste para Selecionar Precos e Prazos um CEP A a CEP B","SUCCESS","2018-01-31T13:14:54.004-02:00","0.0","25.99"
